"Sp","Organism","Limb_width","Limb_length","Observer","Volume"
"H. frenatus","Hemidactylus frenatus",1.71976217672389,22.895934363007,"Gabriel",53.1844949006395
"S. serpentarius","Sagittarius serpentarius",1.88491125525836,32.5688370915653,"Gabriel",90.8811781958208
"S. serpentarius","Sagittarius serpentarius",2.77935415707456,27.5330812153763,"Gabriel",167.044613917774
"S. serpentarius","Sagittarius serpentarius",2.03525419571229,26.5245740060227,"Matteo",86.293009715687
"Curculionoidea","Curculionoidea",2.06464386758047,20.4838143273498,"Matteo",68.5789786879396
"H. sapiens","Homo sapiens",2.85753249344164,29.5497227519108,"Gabriel",189.507170339583
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.2304581029946,22.1509553054292,"Mason",86.5506795097299
"H. sapiens","Homo sapiens",1.36746938269673,13.3205806341186,"Gabriel",19.563576815412
"H. sapiens","Homo sapiens",1.65657357405324,26.1977347971224,"Mason",56.4644472517115
"H. sapiens","Homo sapiens",1.77716901495002,39.1899660906077,"Matteo",97.2125274143961
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.61204089871973,24.2465303739161,"Mason",129.92700504653
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.17990691352868,36.0796432222503,"Mason",134.65671428028
"H. sapiens","Homo sapiens",2.20038572529703,13.8211729171084,"Mason",52.5572241503226
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.05534135797256,29.4443803447546,"Matteo",97.6922749256447
"S. serpentarius","Sagittarius serpentarius",1.72207943262296,35.1940720394346,"Matteo",81.9720430981623
"H. sapiens","Homo sapiens",2.89345656840154,33.0115336216671,"Matteo",217.064857754713
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.24892523911462,31.0567619414894,"Gabriel",123.366172676597
"S. serpentarius","Sagittarius serpentarius",1.01669142168518,23.5929399169462,"Gabriel",19.1535932988274
"Curculionoidea","Curculionoidea",2.35067795078184,21.5029565396642,"Matteo",93.3199131395738
"H. sapiens","Homo sapiens",1.76360429613603,19.7587120939509,"Matteo",48.2670560457952
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.46608814700658,31.1764659710013,"Gabriel",52.6304314726391
"Curculionoidea","Curculionoidea",1.89101254267085,20.525253858152,"Matteo",57.6457425015051
"Curculionoidea","Curculionoidea",1.48699777584638,25.0944255629933,"Gabriel",43.5800553924454
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.63555438535443,27.4390780780175,"Mason",57.648681187389
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.68748036607537,48.4386200523221,"Matteo",108.332583575235
"H. frenatus","Hemidactylus frenatus",1.15665334462879,23.4805009830454,"Matteo",24.6719613610085
"Curculionoidea","Curculionoidea",2.41889352224726,32.3538657228486,"Gabriel",148.67897660162
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.07668655891826,30.7796084956371,"Mason",104.254516101262
"H. frenatus","Hemidactylus frenatus",1.43093153149403,20.3814336586987,"Gabriel",32.7764805583167
"H. sapiens","Homo sapiens",2.62690746053496,29.286919138764,"Mason",158.727844031208
"S. serpentarius","Sagittarius serpentarius",2.21323211073841,44.4455085842335,"Matteo",170.990383607612
"H. frenatus","Hemidactylus frenatus",1.85246425850386,34.5150405307921,"Mason",93.0246284254278
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.44756283052251,30.4123292199294,"Gabriel",143.089334239147
